date,regime
2021-04-30,low_vol
2021-06-30,low_vol
2021-08-31,low_vol
2021-09-30,low_vol
2021-11-30,low_vol
2021-12-31,low_vol
2022-01-31,mid_vol
2022-02-28,mid_vol
2022-03-31,mid_vol
2022-05-31,mid_vol
2022-06-30,high_vol
2022-08-31,high_vol
2022-09-30,high_vol
2022-10-31,high_vol
2022-11-30,high_vol
2023-01-31,high_vol
2023-02-28,mid_vol
2023-03-31,mid_vol
2023-05-31,low_vol
2023-06-30,low_vol
2023-07-31,low_vol
2023-08-31,low_vol
2023-10-31,low_vol
2023-11-30,low_vol
2024-01-31,low_vol
2024-02-29,low_vol
2024-04-30,low_vol
2024-05-31,low_vol
2024-07-31,low_vol
2024-09-30,low_vol
2024-10-31,low_vol
2024-12-31,low_vol
2025-01-31,low_vol
2025-02-28,low_vol
2025-03-31,mid_vol
2025-04-30,mid_vol
2025-06-30,mid_vol
2025-07-31,low_vol
2025-09-30,low_vol
2025-10-31,low_vol
2025-12-31,low_vol
